loss,accuracy,val_loss,val_accuracy,lr
0.22866135835647583,0.9056838154792786,0.1710948646068573,0.9328480362892151,0.001
0.12771974503993988,0.9476872682571411,0.13738913834095,0.9469200968742371,0.00091
0.10227858275175095,0.9594094157218933,0.11673285067081451,0.9525978565216064,0.00082
0.08976683020591736,0.9648491740226746,0.10190560668706894,0.9625341296195984,0.00073
0.08164043724536896,0.9684965014457703,0.09117183089256287,0.9651471972465515,0.00064
0.07570738345384598,0.9711003303527832,0.08580077439546585,0.9660818576812744,0.00055
0.07095213234424591,0.9731814861297607,0.07789918035268784,0.9701559543609619,0.00046
0.06723926961421967,0.9747515916824341,0.07754091918468475,0.9703467488288879,0.00037
0.064217209815979,0.976034939289093,0.0779704600572586,0.9703313708305359,0.00028
0.061890263110399246,0.9769165515899658,0.0734289288520813,0.9715977907180786,0.00019
