loss,accuracy,val_loss,val_accuracy,lr
0.2535691559314728,0.895946204662323,0.21506333351135254,0.911439836025238,0.001
0.1734473556280136,0.9282257556915283,0.15545150637626648,0.9329044818878174,0.00091
0.13008195161819458,0.946901261806488,0.13734042644500732,0.9434887766838074,0.00082
0.11736175417900085,0.9525165557861328,0.11692390590906143,0.9518128633499146,0.00073
0.11072969436645508,0.9552686214447021,0.11164240539073944,0.9542593359947205,0.00064
0.10653968900442123,0.9569713473320007,0.1110939309000969,0.9545809030532837,0.00055
0.10365572571754456,0.9583171606063843,0.10688646137714386,0.9562963247299194,0.00046
0.1016840860247612,0.9593626260757446,0.10904063284397125,0.9555885791778564,0.00037
0.10025741159915924,0.9601837396621704,0.10334724187850952,0.958499014377594,0.00028
0.09925805032253265,0.9606479406356812,0.1020071804523468,0.9591462016105652,0.00019
