loss,accuracy,val_loss,val_accuracy,lr
0.11830468475818634,0.9536892771720886,0.09629666060209274,0.962608814239502,0.001
0.08312635123729706,0.968381404876709,0.07968699187040329,0.9686744809150696,0.00091
0.07477779686450958,0.971747875213623,0.08177226036787033,0.9681379199028015,0.00082
0.07016876339912415,0.973587155342102,0.07485127449035645,0.9712865352630615,0.00073
0.06700384616851807,0.9750421643257141,0.07471059262752533,0.9719691872596741,0.00064
0.06476950645446777,0.9757931232452393,0.0734957903623581,0.9720662832260132,0.00055
0.06307217478752136,0.9765889048576355,0.07205107808113098,0.9731189012527466,0.00046
0.061720266938209534,0.9771642684936523,0.0727895051240921,0.9729465842247009,0.00037
0.06056767329573631,0.9776908755302429,0.07008706778287888,0.9737036824226379,0.00028
0.05969606339931488,0.9780692458152771,0.07036710530519485,0.9733765721321106,0.00019
