loss,accuracy,val_loss,val_accuracy,lr
0.15838922560214996,0.9357879161834717,0.12876532971858978,0.9477772116661072,0.001
0.10898146778345108,0.957611083984375,0.1141786202788353,0.9539180994033813,0.00091
0.09979315102100372,0.9613091349601746,0.10507529228925705,0.9588529467582703,0.00082
0.09454771131277084,0.9636086821556091,0.09624018520116806,0.9621637463569641,0.00073
0.09092022478580475,0.9650247097015381,0.10009606927633286,0.9610031843185425,0.00064
0.08826204389333725,0.9663100838661194,0.10204194486141205,0.9596491456031799,0.00055
0.08613969385623932,0.9671663045883179,0.09370552003383636,0.9632748365402222,0.00046
0.08446506410837173,0.9676987528800964,0.09413328021764755,0.9639352560043335,0.00037
0.0830458402633667,0.9682702422142029,0.09145525842905045,0.9641130566596985,0.00028
0.08198003470897675,0.9688300490379333,0.09282202273607254,0.9644435048103333,0.00019
