loss,accuracy,val_loss,val_accuracy,lr
0.3577534854412079,0.8533663153648376,0.24545134603977203,0.8994379639625549,0.001
0.16547730565071106,0.9297803044319153,0.16023719310760498,0.9323781728744507,0.00091
0.13268472254276276,0.9453584551811218,0.1473606377840042,0.9434496760368347,0.00082
0.11650218814611435,0.9532986879348755,0.12812180817127228,0.9517154097557068,0.00073
0.10562287271022797,0.9583171606063843,0.14988960325717926,0.9523437023162842,0.00064
0.09726008027791977,0.9619801044464111,0.11987936496734619,0.9560428857803345,0.00055
0.09103596210479736,0.964679479598999,0.10561715811491013,0.959571123123169,0.00046
0.08609054982662201,0.9668132662773132,0.09543881565332413,0.96235191822052,0.00037
0.08226672559976578,0.9683794975280762,0.09043256938457489,0.9651266932487488,0.00028
0.07925023883581161,0.969551682472229,0.09039831161499023,0.9648540019989014,0.00019
